station_group_slug,station_name_hiragana,station_name_katakana,station_name_initial_kana,note
afurijinja-kanagawa-iseharashi,あふりじんじゃ,アフリジンジャ,あ,
ai.chikyuuhiroshikinenkouen-aichi-nagakuteshi,あい・ちきゅうはくきねんこうえん,アイ・チキュウハクキネンコウエン,あ,中黒は駅名の一部
aina-hyogo-koubeshi,あいな,アイナ,あ,
airandokitaguchi-hyogo-koubeshi,あいらんどきたぐち,アイランドキタグチ,あ,
airandosentaa-hyogo-koubeshi,あいらんどせんたー,アイランドセンター,あ,
ajikesawa-aomori-ajisawamachi,あじがさわ,アジガサワ,あ,
ajikeura-ibaraki-hitachinakashi,あじがうら,アジガウラ,あ,
ajima-aichi-nagoyashi,あじま,アジマ,あ,鋺=ま は地名固有の読み
akitashirakami-akita-hachiminemachi,あきたしらかみ,アキタシラカミ,あ,
amagasakisentaapuurumae-hyogo-amagasakishi,あまがさきせんたーぷーるまえ,アマガサキセンタープールマエ,あ,
amakesaka-aichi-nagoyashi,あまがさか,アマガサカ,あ,
amaketsuji-nara-narashi,あまがつじ,アマガツジ,あ,
amarube-hyogo-kagamimachi,あまるべ,アマルベ,あ,餘部の読み
anegasaki-chiba-ichiharashi,あねがさき,アネガサキ,あ,
animatagi-akita-kitaakitashi,あにまたぎ,アニマタギ,あ,
aonokehara-hyogo-onoshi,あおのがはら,アオノガハラ,あ,
aputoichishiro-shizuoka-kawanehonmachi,あぷといちしろ,アプトイチシロ,あ,
ariaketenisunomori-tokyo-koutouku,ありあけてにすのもり,アリアケテニスノモリ,あ,
asahigaoka-miyagi-sendaishi,あさひがおか,アサヒガオカ,あ,
asahigaoka-miyazaki-nobeokashi,あさひがおか,アサヒガオカ,あ,
asahigaoka-toyama-takaokashi,あさひがおか,アサヒガオカ,あ,
asahikeoka-shimane-matsueshi,あさひがおか,アサヒガオカ,あ,
asaketani-tokyo-suginamiku,あさがや,アサガヤ,あ,
asakurajinjamae-kochi-kouchishi,あさくらじんじゃまえ,アサクラジンジャマエ,あ,
ashikagafurawaapaaku-tochigi-ashikagashi,あしかがふらわーぱーく,アシカガフラワーパーク,あ,
ashikekubo-saitama-yokozemachi,あしがくぼ,アシガクボ,あ,
