station_group_slug,station_name,hiragana,katakana,initial_kana,reason
"hanenoura-tokushima-ananshi","羽ノ浦","はノうら","ハノウラ","は","katakana_remains"
"haranomachi-fukushima-minamisoumashi","原ノ町","はらノまち","ハラノマチ","は","katakana_remains"
"hasukeike-miyazaki-miyazakishi","蓮ヶ池","はちすヶち","ハチスヶチ","は","kanji_remains;katakana_remains"
"hatagaya-tokyo-shibuyaku","幡ヶ谷","はたヶたに","ハタヶタニ","は","kanji_remains;katakana_remains"
"hatonosu-tokyo-okutamamachi","鳩ノ巣","はとノす","ハトノス","は","katakana_remains"
"hausutenbosu-nagasaki-saseboshi","ハウステンボス","ハウステンボス","ハウステンボス","その他","katakana_remains"
"hidaichinomiya-gifu-takayamashi","飛騨一ノ宮","ひだいちノみや","ヒダイチノミヤ","は","katakana_remains"
"higashiisahaya-nagasaki-soushi","東諫早","ひがし諫はや","ヒガシ諫ハヤ","は","kanji_remains"
"higashiyama.okadenmyuujiamu-okayama-okayamashi","東山・おかでんミュージアム","ひがしやま・おかでんミュージアム","ヒガシヤマ・オカデンミュージアム","は","katakana_remains"
"hikifune-tokyo-sumidaku","曳舟","曳ふね","曳フネ","その他","kanji_remains"
"hikifune-tokyo-sumidaku","曳舟","曳ふね","曳フネ","その他","kanji_remains"
"hinaguonsen-kumamoto-yashiroshi","日奈久温泉","にち奈ひさおんせん","ニチ奈ヒサオンセン","な","kanji_remains"
"hirokawabiichi-wakayama-hirogawamachi","広川ビーチ","ひろかわビーチ","ヒロカワビーチ","は","katakana_remains"
"honisahaya（isahayashiyakushomae）-nagasaki-soushi","本諫早（諫早市役所前）","ほん諫はや（諫はやしやくしょまえ）","ホン諫ハヤ（諫ハヤシヤクショマエ）","は","kanji_remains"
"horinonai-kanagawa-yokosukashi","堀ノ内","ほりノうち","ホリノウチ","は","katakana_remains"
"horinonai-kanagawa-yokosukashi","堀ノ内","ほりノうち","ホリノウチ","は","katakana_remains"
"ichinoseki-iwate-ichizekishi","一ノ関","いちノせき","イチノセキ","あ","katakana_remains"
"ichinoseki-iwate-ichizekishi","一ノ関","いちノせき","イチノセキ","あ","katakana_remains"
