station_group_slug,station_name,generated_hiragana,generated_katakana,generated_initial_kana,reason
"afurijinja-kanagawa-iseharashi","阿夫利神社","おもねおっととぎじんじゃ","オモネオットトギジンジャ","あ","special_char"
"ai.chikyuuhiroshikinenkouen-aichi-nagakuteshi","愛・地球博記念公園","あい・ちきゅうはくきねんこうえん","アイ・チキュウハクキネンコウエン","あ","katakana_remains"
"aina-hyogo-koubeshi","藍那","あい那","アイ那","あ","kanji_remains"
"airandokitaguchi-hyogo-koubeshi","アイランド北口","アイランドきたぐち","アイランドキタグチ","その他","katakana_remains"
"airandosentaa-hyogo-koubeshi","アイランドセンター","アイランドセンター","アイランドセンター","その他","katakana_remains"
"ajikesawa-aomori-ajisawamachi","鰺ヶ沢","あじヶさわ","アジヶサワ","あ","kanji_remains;katakana_remains;special_char"
"ajikeura-ibaraki-hitachinakashi","阿字ヶ浦","あじがうら","アジガウラ","あ","special_char"
"ajima-aichi-nagoyashi","味鋺","あじ鋺","アジ鋺","あ","kanji_remains"
"akitashirakami-akita-hachiminemachi","あきた白神","あきたしらかみ","アキタシラカミ","あ","special_char"
"amagasakisentaapuurumae-hyogo-amagasakishi","尼崎センタープール前","あまがさきセンタープールまえ","アマガサキセンタープールマエ","あ","katakana_remains"
"amakesaka-aichi-nagoyashi","尼ヶ坂","あまヶざか","アマヶザカ","あ","kanji_remains;katakana_remains;special_char"
"amaketsuji-nara-narashi","尼ヶ辻","あまヶつじ","アマヶツジ","あ","kanji_remains;katakana_remains;special_char"
"amarube-hyogo-kagamimachi","餘部","餘ぶ","餘ブ","その他","kanji_remains"
"anegasaki-chiba-ichiharashi","姉ヶ崎","あねがさき","アネガサキ","あ","special_char"
"animatagi-akita-kitaakitashi","阿仁マタギ","あにマタギ","アニマタギ","あ","katakana_remains"
"aonokehara-hyogo-onoshi","青野ヶ原","あおのがはら","アオノガハラ","あ","special_char"
"aputoichishiro-shizuoka-kawanehonmachi","アプトいちしろ","アプトいちしろ","アプトイチシロ","その他","katakana_remains"
"ariaketenisunomori-tokyo-koutouku","有明テニスの森","ありあけテニスのもり","アリアケテニスノモリ","あ","katakana_remains"
"asahigaoka-miyagi-sendaishi","旭ヶ丘","あさひがおか","アサヒガオカ","あ","special_char"
"asahigaoka-miyazaki-nobeokashi","旭ヶ丘","あさひがおか","アサヒガオカ","あ","special_char"
"asahigaoka-toyama-takaokashi","旭ヶ丘","あさひがおか","アサヒガオカ","あ","special_char"
"asahikeoka-shimane-matsueshi","朝日ヶ丘","あさひヶおか","アサヒヶオカ","あ","kanji_remains;katakana_remains;special_char"
"asaketani-tokyo-suginamiku","阿佐ヶ谷","あさがや","アサガヤ","あ","special_char"
"asakurajinjamae-kochi-kouchishi","朝倉神社前","あさくらじんじゃまえ","アサクラジンジャマエ","あ","special_char"
"ashikagafurawaapaaku-tochigi-ashikagashi","あしかがフラワーパーク","あしかがフラワーパーク","アシカガフラワーパーク","あ","katakana_remains"
"ashikekubo-saitama-yokozemachi","芦ヶ久保","あしヶくぼ","アシヶクボ","あ","kanji_remains;katakana_remains;special_char"
"ashikese-iwate-toonoshi","足ヶ瀬","あしがせ","アシガセ","あ","special_char"
"ashinomakionsen-fukushima-aizuwakamatsushi","芦ノ牧温泉","あしノまきおんせん","アシノマキオンセン","あ","katakana_remains;special_char"
"ashinomakionsenminami-fukushima-aizuwakamatsushi","芦ノ牧温泉南","あしノまきあつしせんなん","アシノマキアツシセンナン","あ","katakana_remains;special_char"
"asumomae-shizuoka-koseishi","アスモ前","アスモまえ","アスモマエ","その他","katakana_remains"
"awakesaki-ishikawa-uchinadamachi","粟ヶ崎","あわヶさき","アワヶサキ","あ","kanji_remains;katakana_remains;special_char"
"awashima（oosakayashoppumae）-toyama-toyamashi","粟島（大阪屋ショップ前）","あわしま（おおさかやショップまえ）","アワシマ（オオサカヤショップマエ）","あ","katakana_remains"
"ayanomachi-osaka-sakaishi","綾ノ町","あやノまち","アヤノマチ","あ","katakana_remains;special_char"
"basusentaamae-hokkaido-sapporoshi","バスセンター前","バスセンターまえ","バスセンターマエ","その他","katakana_remains"
"beisaido･suteeshon-chiba-urayasushi","ベイサイド･ステーション","ベイサイド･ステーション","ベイサイド･ステーション","その他","katakana_remains"
"berumae-fukui-fukuishi","ベル前","ベルまえ","ベルマエ","その他","katakana_remains"
"bitchuukamishiro-okayama-niimishi","備中神代","びっちゅうこうじろ","ビッチュウコウジロ","は","special_char"
"bokushisato-shizuoka-izushi","牧之郷","まきのこう","マキノコウ","ま","special_char"
"bouekisentaa-hyogo-koubeshi","貿易センター","ぼうえきセンター","ボウエキセンター","は","katakana_remains"
"chayakesaka-aichi-nagoyashi","茶屋ヶ坂","ちゃやヶざか","チャヤヶザカ","た","kanji_remains;katakana_remains;special_char"
"chibanyuutaunchuuou-chiba-inzaishi","千葉ニュータウン中央","ちばニュータウンちゅうおう","チバニュータウンチュウオウ","た","katakana_remains"
"chigasaki-kanagawa-chigasakishi","茅ヶ崎","ちがさき","チガサキ","た","special_char"
"chikusentaa-chiba-sakurashi","地区センター","ちくセンター","チクセンター","た","katakana_remains"
"chitetsubirumae-toyama-toyamashi","地鉄ビル前","ちてつビルまえ","チテツビルマエ","た","katakana_remains"
"chiyokeoka-hokkaido-asahikawashi","千代ヶ岡","ちよヶおか","チヨヶオカ","た","kanji_remains;katakana_remains;special_char"
"chokese-gifu-kagamiharashi","苧ヶ瀬","からむしヶせ","カラムシヶセ","か","kanji_remains;katakana_remains;special_char"
"choujakehamashiosaihamanasukouenmae-ibaraki-kashimashi","長者ヶ浜潮騒はまなす公園前","ちょうじゃがはましおさいはまなすこうえんまえ","チョウジャガハマシオサイハマナスコウエンマエ","た","special_char;long_reading"
"choutanoura-mie-suzukashi","長太ノ浦","なごノうら","ナゴノウラ","な","katakana_remains;special_char"
"chuuoudaigaku.meiseidaigaku-tokyo-hachioujishi","中央大学・明星大学","ちゅうおうだいがく・めいせいだいがく","チュウオウダイガク・メイセイダイガク","た","katakana_remains"
"daijin-oita-hinodemachi","大神","おおがみ","オオガミ","あ","special_char"
"daijinguushita-chiba-funabashishi","大神宮下","だいじんぐうした","ダイジングウシタ","た","special_char"
"denkibirumae-toyama-toyamashi","電気ビル前","でんきビルまえ","デンキビルマエ","た","katakana_remains"
"dentetsutaaminarubirumae-kochi-kouchishi","デンテツターミナルビル前","デンテツターミナルビルまえ","デンテツターミナルビルマエ","その他","katakana_remains"
"dentetsutoyamaeki.esutamae-toyama-toyamashi","電鉄富山駅・エスタ前","でんてつとやまえき・エスタまえ","デンテツトヤマエキ・エスタマエ","た","katakana_remains"
"doomumae-osaka-oosakashi","ドーム前","ドームまえ","ドームマエ","その他","katakana_remains"
"doomumaechiyozaki-osaka-oosakashi","ドーム前千代崎","ドームぜんちよざき","ドームゼンチヨザキ","その他","katakana_remains"
"doushishamae-kyoto-kyoutanabeshi","同志社前","どうししゃまえ","ドウシシャマエ","た","special_char"
"echigohorinouchi-niigata-uonumashi","越後堀之内","えちごほりのうち","エチゴホリノウチ","あ","special_char"
"eganosou-osaka-habikinoshi","恵我ノ荘","えがノしょう","エガノショウ","あ","katakana_remains;special_char"
"eikeshima-hyogo-akashishi","江井ヶ島","えいがしま","エイガシマ","あ","special_char"
"enshuunishikesaki-shizuoka-hamamatsushi","遠州西ヶ崎","とおしゅうにしがさき","トオシュウニシガサキ","た","special_char"
"erinono-kochi-sagawamachi","襟野々","えりの々","エリノ々","あ","kanji_remains"
"etsukehama-yamaguchi-hagishi","越ヶ浜","えつヶはま","エツヶハマ","あ","kanji_remains;katakana_remains;special_char"
"etsunokata-toyama-imizushi","越ノ潟","こしノかた","コシノカタ","か","katakana_remains;special_char"
"famiriikouenmae-nara-yamatokooriyamashi","ファミリー公園前","ファミリーこうえんまえ","ファミリーコウエンマエ","その他","katakana_remains"
"feriitaaminaru-osaka-oosakashi","フェリーターミナル","フェリーターミナル","フェリーターミナル","その他","katakana_remains"
"fujifuirumumae-kanagawa-minamiashigarashi","富士フイルム前","ふじフイルムまえ","フジフイルムマエ","は","katakana_remains"
"fujikyuuhairando-yamanashi-fujikawaguchikomachi","富士急ハイランド","ふじきゅうハイランド","フジキュウハイランド","は","katakana_remains"
"fujimikeoka-tokyo-suginamiku","富士見ヶ丘","ふじみがおか","フジミガオカ","は","special_char"
"fujinoki-fukuoka-kitakyuushuushi","藤ノ木","ふじノき","フジノキ","は","katakana_remains;special_char"
